country	Croatia	1.0
country	Poland	1.0
country	Djibouti	1.0
country	Bangladesh	1.0
country	Venezuela	1.0
country	Argentina	1.0
country	Mauritius	1.0
country	Israel	1.0
country	Belarus	1.0
country	Ghana	1.0
country	Morocco	1.0
country	Dominican Republic	1.0
country	Brazil	1.0
country	Mexico	1.0
country	Algeria	1.0
country	Senegal	1.0
country	Norway	1.0
country	Slovenia	1.0
country	Saudi Arabia	1.0
country	Chile	1.0
country	Ivory Coast	1.0
country	Madagascar	1.0
country	Turkey	1.0
country	Guinea	1.0
country	Portugal	1.0
country	Japan	1.0
country	Russia	1.0
country	Cameroon	1.0
country	Greece	1.0
country	Chad	1.0
country	China	1.0
country	Unknown	1.0
country	Malta	1.0
country	Iceland	1.0
country	Finland	1.0
country	Spain	1.0
country	Central African Republic	1.0
country	Switzerland	1.0
country	Benin	1.0
country	USA	1.0
country	Mali	1.0
country	Niger	1.0
country	Czech Republic	1.0
country	Togo	1.0
country	Germany	1.0
country	Denmark	1.0
country	The Netherlands	1.0
country	Ireland	1.0
country	Sweden	1.0
country	Canada	1.0
country	Italy	1.0
country	Burkina Faso	1.0
country	South Africa	1.0
country	France	1.0
country	Belarus	1.0
country	Bangladesh	1.0
country	Norway	1.0
country	Mexico	1.0
country	UK	1.0
country	?	1.0
